district_number,district_name,county,county_code,is_charter,first_year,last_year,brb_id,has_boundary,former_names,aliases
057837,KIPP DALLAS-FORT WORTH,Dallas,057,True,2009,2018,,False,KIPP TRUTH ACADEMY,
057838,UPLIFT EDUCATION - PEAK PREPARATOR,Dallas,057,True,2009,2015,,False,PEAK PREPARATORY SCHOOL,
057839,LA ACADEMIA DE ESTRELLAS,Dallas,057,True,2009,2025,,False,,
057840,RICHLAND COLLEGIATE HIGH SCHOOL,Dallas,057,True,2009,2025,,False,RICHLAND COLLEGIATE HS OF MATH SCI,
057841,CITYSCAPE SCHOOLS,Dallas,057,True,2009,2025,,False,RECONCILIATION ACADEMY,
057842,UPLIFT EDUCATION - WILLIAMS PREPAR,Dallas,057,True,2009,2015,,False,WILLIAMS PREPARATORY,
057843,UPLIFT EDUCATION - HAMPTON PREPARA,Dallas,057,True,2009,2015,,False,HAMPTON PREPARATORY,
057844,MANARA ACADEMY,Dallas,057,True,2010,2025,,False,,
057845,UME PREPARATORY ACADEMY,Dallas,057,True,2013,2025,,False,,
057846,LEGACY PREPARATORY,Dallas,057,True,2013,2025,,False,,
057847,VILLAGE TECH SCHOOLS,Dallas,057,True,2014,2025,,False,,
057848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEX,Dallas,057,True,2014,2025,,False,INTERNATIONAL LEADERSHIP OF TEXAS,
057849,TRINITY ENVIRONMENTAL ACADEMY,Dallas,057,True,2016,2018,,False,,
057850,PIONEER TECHNOLOGY & ARTS ACADEMY,Dallas,057,True,2017,2025,,False,,
057851,BRIDGEWAY PREPARATORY ACADEMY,Dallas,057,True,2019,2025,,False,,
057903,CARROLLTON-FARMERS BRANCH ISD,Dallas,057,False,2009,2025,564,True,,
057904,CEDAR HILL ISD,Dallas,057,False,2009,2025,579,True,,
057905,DALLAS ISD,Dallas,057,False,2009,2025,838,True,,
057906,DESOTO ISD,Dallas,057,False,2009,2025,861,True,,
057907,DUNCANVILLE ISD,Dallas,057,False,2009,2025,947,True,,
057909,GARLAND ISD,Dallas,057,False,2009,2025,1284,True,,
057910,GRAND PRAIRIE ISD,Dallas,057,False,2009,2025,1355,True,,
057911,HIGHLAND PARK ISD,Dallas,057,False,2009,2025,1746,True,,Highland Park ISDa
057912,IRVING ISD,Dallas,057,False,2009,2025,1866,True,,
057913,LANCASTER ISD,Dallas,057,False,2009,2025,2122,True,,
057914,MESQUITE ISD,Dallas,057,False,2009,2025,2420,True,,
057916,RICHARDSON ISD,Dallas,057,False,2009,2025,3078,True,,
057919,SUNNYVALE ISD,Dallas,057,False,2009,2025,3476,True,,
057922,COPPELL ISD,Dallas,057,False,2009,2025,735,True,,
058902,DAWSON ISD,Dawson,058,False,2009,2025,850,True,,Dawson ISDa
058905,KLONDIKE ISD,Dawson,058,False,2009,2025,2009,True,,
058906,LAMESA ISD,Dawson,058,False,2009,2025,2117,True,,
058909,SANDS CISD,Dawson,058,False,2009,2025,3261,True,,
059901,HEREFORD ISD,Deaf Smith,059,False,2009,2025,1725,True,,
059902,WALCOTT ISD,Deaf Smith,059,False,2009,2025,3770,True,,
060902,COOPER ISD,Delta,060,False,2009,2025,733,True,,
060914,FANNINDEL ISD,Delta,060,False,2009,2025,1097,True,,
061802,NORTH TEXAS COLLEGIATE ACADEMY,Denton,061,True,2009,2025,,False,EDUCATION CENTER | TEXAS EDUCATION CENTERS,
061803,THE LEGENDS ACADEMY,Denton,061,True,2009,2011,,False,,
061804,LEADERSHIP PREP SCHOOL,Denton,061,True,2012,2025,,False,,
061805,TRIVIUM ACADEMY,Denton,061,True,2017,2025,,False,,
061806,TEXAS WORKS,,061,True,2025,2025,,False,,
